,source,target
212,25065,40093
213,10483,14334
214,14334,10483
215,10331,38671
216,57892,65854
217,58176,87593
218,2214,54944
219,63269,95866
220,95866,63269
221,60390,64421
222,66493,58176
223,35097,87593
224,54944,2214
225,64421,60390
226,87593,58176
227,58176,66493
228,11580,76362
229,76362,11580
230,9789,82966
231,82966,15603
232,82966,54380
233,82966,9789
234,54380,82966
235,15603,82966
236,29680,32528
237,2632,61208
238,5689,28144
239,37537,849
240,59615,73848
241,849,93999
242,63231,5762
243,68828,50179
244,24880,51158
245,41162,38440
246,38440,41162
247,33573,39276
248,89028,48248
249,77986,15067
250,31022,50780
251,58969,91696
252,67415,88093
253,68828,39276
254,39276,88093
255,61208,2632
256,68828,5357
257,98845,89028
258,90947,66233
259,93822,91693
260,40604,37512
261,73848,59615
262,91696,58969
263,15067,77986
264,50780,31022
265,14908,40604
266,28144,5689
267,39276,33573
268,73848,849
269,88093,67415
270,88093,39276
271,97809,31022
272,50780,91696
273,91696,50780
274,45036,74890
275,50179,68828
276,27368,4988
277,77778,74890
278,65553,31216
279,66233,90947
280,5357,51913
281,849,73848
282,74890,45036
283,4988,27368
284,40604,14908
285,39276,68828
286,48248,89028
287,93999,849
288,44088,5454
289,31216,65553
290,74890,77778
291,66233,45438
292,849,37537
293,31022,97809
294,5357,68828
295,89028,98845
296,32528,29680
297,5762,63231
298,45438,66233
299,51158,24880
300,37512,40604
301,91693,93822
302,51913,5357
303,5454,44088
304,3198,92822
305,90315,54573
306,55564,24466
307,92822,3198
308,24466,55564
309,54573,90315
310,68679,69392
311,69392,68679
312,66779,85126
313,25350,14407
314,33098,5453
315,59152,16375
316,33098,42675
317,16375,59152
318,59152,62218
319,42675,54458
320,5453,33098
321,65033,52088
322,54458,42675
323,62218,59152
324,85126,66779
325,52088,65033
326,14407,25350
327,42675,33098
328,52499,8228
329,49642,24395
330,48142,51771
331,49590,69513
332,46800,84826
333,11281,97254
334,34149,73085
335,64251,40047
336,69513,49590
337,18853,80767
338,69513,28102
339,97737,51491
340,19011,14797
341,40047,64251
342,13856,84826
343,88004,75913
344,11762,21218
345,95579,21745
346,21218,87353
347,46757,71979
348,14990,7456
349,91030,45353
350,83631,25093
351,19011,71979
352,22710,84470
353,29260,77080
354,45455,48324
355,29260,46069
356,26797,53742
357,51771,48142
358,73085,34149
359,71979,46757
360,24395,49642
361,48324,20042
362,6582,95288
363,19848,13278
364,48142,16613
365,95288,90702
366,50903,87629
367,46653,91030
368,71979,19011
369,84470,22710
370,84826,13856
371,84734,55105
372,49230,29140
373,29140,49230
374,77080,29260
375,23448,2658
376,75913,88004
377,13278,19848
378,28102,69513
379,97254,11281
380,84826,46800
381,7456,14990
382,48142,40047
383,2658,23448
384,8584,39847
385,13278,35235
386,91030,46653
387,39847,8584
388,95288,6582
389,87629,50903
390,20042,48324
391,35235,13278
392,21745,95579
393,90702,95288
394,40047,48142
395,84734,2658
396,83631,27988
397,25093,83631
398,53742,26797
399,48324,45455
400,27988,83631
401,14797,19011
402,16613,48142
403,46069,29260
404,51491,97737
405,8228,52499
406,55105,84734
407,45353,91030
408,21218,11762
409,80767,18853
410,2658,84734
411,41241,57863
412,28749,9239
413,9239,28749
414,95466,27405
415,57130,9239
416,13310,88129
417,58695,93346
418,27800,8661
419,83002,3368
420,57863,41241
421,95466,85286
422,12968,26938
423,27288,4862
424,9239,57130
425,26938,12968
426,20207,41241
427,48114,84283
428,3368,83002
429,41241,20207
430,88129,13310
431,45072,58695
432,8661,27800
433,93346,58695
434,58695,45072
435,85286,95466
436,42210,26808
437,27405,95466
438,84283,48114
439,4862,27288
440,26808,42210
441,39189,44244
442,20001,62407
443,67132,24675
444,38514,14526
445,66301,42473
446,24082,70250
447,70250,24082
448,35024,17775
449,38514,35918
450,62407,20001
451,38514,41420
452,16702,94077
453,14526,38514
454,44244,39189
455,17775,35024
456,11519,76274
457,62088,57280
458,24675,67132
459,85351,87354
460,94077,16702
461,33557,94077
462,42473,66301
463,94077,33557
464,58576,34983
465,34983,58576
466,41420,38514
467,76274,11519
468,57280,62088
469,87354,85351
470,35918,38514
471,95210,78400
472,78400,95210
473,22854,21291
474,68393,75215
475,24074,73967
476,99080,62736
477,62736,99080
478,38042,62736
479,28811,12572
480,93600,18947
481,25652,43251
482,11184,28811
483,18424,89858
484,57076,73967
485,92174,22261
486,28811,10508
487,10508,73386
488,91995,88360
489,2158,92174
490,87993,92174
491,68418,22699
492,11184,37226
493,21157,38319
494,54757,37226
495,10489,99080
496,73386,10508
497,76801,18424
498,81514,21291
499,18947,93600
500,10880,39288
501,23185,81409
502,64374,33118
503,28811,81409
504,68393,87993
505,24074,60859
506,93600,28811
507,60907,50655
508,28811,93600
509,55613,889
510,39288,10880
511,43251,58694
512,70508,10489
513,33118,64374
514,21291,81514
515,97448,40951
516,6486,30693
517,10997,70905
518,52018,87073
519,16080,87993
520,12572,28811
521,38042,2158
522,49074,51673
523,73967,24074
524,51673,52018
525,40719,74501
526,27130,81514
527,21072,24718
528,62736,38042
529,39045,24718
530,50655,60907
531,81514,27130
532,33118,10880
533,89858,49417
534,74501,40719
535,38319,21157
536,24718,39045
537,99080,61108
538,40951,97448
539,16685,82544
540,17926,87189
541,83870,43184
542,10508,74719
543,22699,68418
544,64138,96897
545,43184,83870
546,74719,10508
547,96897,64138
548,12572,39050
549,889,55613
550,82544,16685
551,90630,50689
552,24718,21072
553,61108,67061
554,73967,57076
555,28811,70508
556,81409,50182
557,16490,76658
558,96897,49743
559,2158,38042
560,16080,38319
561,22261,92174
562,49417,89858
563,51673,49074
564,45029,54805
565,56507,56544
566,1567,10449
567,87993,68393
568,25652,57175
569,25652,49743
570,87993,14110
571,60859,24074
572,87189,68393
573,16080,55613
574,58694,43251
575,42463,75215
576,88360,91995
577,18947,44718
578,39050,81112
579,67061,16490
580,45029,56544
581,92174,87993
582,24074,76658
583,57175,25652
584,55613,16080
585,10449,1567
586,75215,42463
587,52018,51673
588,54805,45029
589,43251,12705
590,81409,28811
591,37226,11184
592,81514,40951
593,39050,12572
594,76658,24074
595,14110,87993
596,39045,21157
597,70508,28811
598,49743,25652
599,10489,70508
600,18424,76801
601,56544,45029
602,27130,68418
603,87189,17926
604,68418,27130
605,10880,33118
606,89858,18424
607,38319,16080
608,10508,28811
609,31437,63887
610,67061,61108
611,6486,72303
612,44718,18947
613,81112,39050
614,61108,99080
615,68393,87189
616,53461,68418
617,63887,31437
618,49743,96897
619,12705,43251
620,50182,81409
621,30693,6486
622,16490,67061
623,37226,54757
624,87993,16080
625,99080,10489
626,68418,53461
627,76658,16490
628,28811,11184
629,81409,23185
630,70905,10997
631,21157,39045
632,50689,90630
633,87073,52018
634,92174,2158
635,40951,81514
636,21291,22854
637,56544,56507
638,43251,25652
639,75215,68393
640,72303,6486
641,18679,11965
642,11965,18679
643,68904,16217
644,8395,80002
645,80002,8395
646,17843,33306
647,33306,17843
648,73707,11506
649,11506,73707
650,41004,38123
651,38123,41004
652,75476,93580
653,93580,75476
654,20878,6914
655,6914,20878
656,61568,94133
657,94133,61568
658,9599,99163
659,99163,9599
660,51315,70069
661,70069,51315
662,96917,93463
663,34873,65007
664,1609,93463
665,93463,1609
666,65007,34873
667,93463,96917
668,8202,31142
669,31142,8202
670,86380,51997
671,28090,52639
672,12288,41562
673,28279,45607
674,91941,20802
675,32499,72251
676,88614,86146
677,86146,1594
678,84970,66776
679,2692,48972
680,32499,88076
681,88884,76079
682,25453,68444
683,40646,71495
684,41562,32499
685,33985,53081
686,91299,25453
687,18524,85959
688,9044,76079
689,94826,88614
690,95075,61318
691,49614,30906
692,53081,33985
693,6515,28025
694,18524,53279
695,8961,39701
696,78429,78775
697,84273,2247
698,43766,28488
699,1594,86146
700,20802,91941
701,53279,18524
702,30906,49614
703,66890,80838
704,11468,6515
705,16927,58912
706,20074,58426
707,84970,32972
708,69524,47749
709,86146,88614
710,71621,72251
711,28025,6515
712,76079,95189
713,58426,9044
714,6515,11468
715,32972,41562
716,71025,64681
717,73842,76210
718,34091,20074
719,32499,41562
720,68444,25453
721,78775,78429
722,45607,28279
723,53279,9363
724,94826,98467
725,50501,78429
726,60106,8115
727,9044,58426
728,31207,50021
729,57996,95189
730,57968,1664
731,79583,93937
732,53081,28090
733,69302,95189
734,61318,95075
735,58912,16927
736,95189,69302
737,95189,76079
738,80838,60106
739,60106,2952
740,71025,91941
741,94143,14054
742,41562,12288
743,95189,57996
744,52639,28090
745,56588,57968
746,66776,84970
747,56377,78119
748,76079,88884
749,20074,34091
750,76210,73842
751,2952,94143
752,71060,55161
753,42175,59902
754,11468,25321
755,50858,31005
756,64681,71025
757,14054,94143
758,57968,56588
759,1817,94143
760,94143,1817
761,44572,71495
762,34885,8115
763,94143,2952
764,51997,86380
765,8961,41562
766,80838,66890
767,2952,28279
768,18524,91299
769,28488,43766
770,71927,91025
771,59902,42175
772,2988,84970
773,76079,9044
774,25321,41562
775,28090,53081
776,20074,57996
777,55161,71060
778,2081,50021
779,48972,2692
780,2952,60106
781,47749,69524
782,9363,53279
783,93937,79583
784,52882,94826
785,71495,44572
786,88614,94826
787,14281,67833
788,78429,50501
789,2247,84273
790,94826,52882
791,57996,20074
792,41562,8961
793,85959,18524
794,71495,40646
795,84970,2988
796,28279,2952
797,39701,8961
798,58426,20074
799,72251,71621
800,60106,80838
801,78119,56377
802,91299,18524
803,8115,60106
804,50021,31207
805,41562,25321
806,67833,14281
807,64681,2692
808,91025,71927
809,84273,53081
810,31207,28488
811,25453,91299
812,53081,84273
813,25321,11468
814,32972,84970
815,28488,31207
816,2692,64681
817,41562,32972
818,72251,32499
819,31005,50858
820,50021,2081
821,91941,71025
822,8115,34885
823,88076,32499
824,98467,94826
825,8230,23542
826,49740,91603
827,10595,60552
828,21160,44541
829,40101,50844
830,91603,49740
831,23542,8230
832,50844,40101
833,60552,10595
834,44541,21160
835,24932,15385
836,15385,24932
837,75033,80513
838,80513,75033
839,80270,35594
840,13670,94995
841,19688,94995
842,94995,19688
843,13670,51205
844,80690,81036
845,51205,13670
846,94995,13670
847,35594,80270
848,81036,80690
849,94475,10000
850,10000,94475
851,78402,68591
852,68591,78402
853,25670,21985
854,37628,53196
855,91056,62971
856,90398,47559
857,6044,73858
858,91056,90708
859,6044,88135
860,62971,91056
861,53196,37628
862,80042,91056
863,66561,5717
864,73858,6044
865,90708,91056
866,11325,90960
867,24513,56998
868,3682,92716
869,85329,24513
870,38392,9994
871,9994,38392
872,90708,73858
873,78523,3682
874,24513,85329
875,21985,25670
876,73858,90708
877,84714,93496
878,24513,48617
879,48617,24513
880,32402,90960
881,78523,90398
882,93496,84714
883,17074,37628
884,90398,78523
885,73408,91056
886,56998,24513
887,47559,90398
888,90960,32402
889,37628,17074
890,90960,11325
891,88135,6044
892,91056,73408
893,5717,66561
894,3682,78523
895,92716,3682
896,46092,41254
897,43521,54980
898,21784,84331
899,54980,43521
900,41254,46092
901,84331,21784
902,58242,41254
903,58242,41296
904,41254,58242
905,41296,58242
906,41031,30921
907,52606,41031
908,30921,41031
909,41031,52606
910,75337,63937
911,75337,43676
912,43676,75337
913,63937,75337
914,43696,91667
915,91667,43696
916,15421,10133
917,35617,81903
918,81903,35617
919,10133,15421
920,19674,81040
921,81040,19674
922,25354,81040
923,81040,25354
924,56209,91169
925,91169,56209
926,49342,90692
927,98050,91169
928,5075,49342
929,77687,95385
930,87848,8213
931,95385,77687
932,8213,87848
933,91169,98050
934,90692,49342
935,49342,5075
936,53995,35811
937,44078,73327
938,95266,13411
939,35811,53995
940,13411,95266
941,73327,44078
942,74665,71244
943,62422,11090
944,71244,74665
945,79547,77249
946,58592,19991
947,14155,55222
948,86800,47826
949,55222,14155
950,8325,87231
951,44347,49370
952,11090,62422
953,77249,79547
954,19991,58592
955,55222,73024
956,73024,55222
957,49370,44347
958,47826,86800
959,87231,8325
960,28852,18902
961,18902,28852
962,39085,71936
963,71936,39085
964,65992,16346
965,16346,65992
966,42216,76257
967,62744,71936
968,71936,62744
969,76257,42216
970,57579,58296
971,58296,57579
972,82368,21353
973,44363,77612
974,77612,44363
975,54719,77612
976,85582,49698
977,80862,49698
978,49698,80862
979,49698,85582
980,21353,82368
981,77612,54719
982,88721,48770
983,29183,24550
984,66651,31549
985,73938,20441
986,31549,66651
987,35602,75816
988,24550,29183
989,66651,79646
990,11121,24550
991,11419,75391
992,38988,31952
993,37586,92939
994,69781,31549
995,15523,5556
996,20441,73938
997,24550,11121
998,77888,99072
999,5556,15523
1000,40813,35988
1001,66651,75426
1002,95143,66651
1003,43897,12172
1004,92939,37586
1005,31952,38988
1006,66651,95143
1007,35988,40813
1008,19850,7968
1009,29546,95042
1010,99072,77888
1011,75391,33803
1012,51621,85794
1013,14406,98092
1014,17238,33803
1015,75816,35602
1016,75426,66651
1017,63492,55033
1018,85794,57824
1019,79646,66651
1020,29183,66651
1021,12172,43897
1022,85794,51621
1023,95042,29546
1024,57824,85794
1025,48770,88721
1026,7968,19850
1027,33803,17238
1028,31549,69781
1029,66651,29183
1030,75391,11419
1031,33803,75391
1032,55033,63492
1033,77478,65632
1034,50333,59846
1035,98868,79142
1036,65632,77478
1037,82982,50877
1038,50333,66920
1039,77663,78884
1040,66193,71361
1041,4146,11613
1042,50333,44933
1043,66920,13265
1044,77478,64083
1045,50877,82982
1046,66920,50333
1047,65974,65380
1048,11613,4146
1049,78884,77663
1050,59686,64083
1051,79142,98868
1052,13265,66920
1053,87117,65974
1054,43868,55295
1055,59846,50333
1056,44933,50333
1057,55295,43868
1058,4387,46846
1059,71361,66193
1060,65380,65974
1061,65974,87117
1062,46846,4387
1063,64083,77478
1064,64083,59686
1065,61273,88237
1066,75471,40578
1067,88237,61273
1068,41357,78798
1069,96301,83349
1070,96301,50799
1071,41357,78585
1072,83349,96301
1073,50799,96301
1074,78798,41357
1075,97267,25108
1076,5592,98131
1077,40578,75471
1078,85627,61273
1079,61273,85627
1080,25108,97267
1081,83534,74377
1082,98131,5592
1083,74377,83534
1084,78585,41357
1085,21450,46505
1086,46505,21450
1087,46941,11975
1088,85248,21450
1089,16582,40437
1090,40437,16582
1091,21450,85248
1092,11975,46941
1093,74321,15496
1094,15496,74321
1095,20213,96762
1096,96762,87617
1097,96762,20213
1098,58415,4223
1099,62291,89236
1100,87617,96762
1101,89236,62291
1102,4223,58415
1103,3395,50117
1104,3395,35124
1105,78693,97384
1106,97384,78693
1107,50117,3395
1108,35124,3395
1109,90548,30572
1110,26824,77422
1111,72867,69609
1112,42926,37138
1113,37138,42926
1114,41141,45994
1115,98104,99542
1116,41141,32714
1117,99542,98104
1118,30572,90548
1119,69609,72867
1120,77422,26824
1121,90548,42307
1122,32714,41141
1123,45994,41141
1124,29418,22129
1125,42307,90548
1126,3221,97025
1127,97025,3221
1128,22129,29418
1129,66769,76947
1130,15191,40846
1131,76947,66769
1132,60133,86743
1133,86743,60133
1134,40846,15191
1135,51400,4922
1136,87778,83276
1137,83276,87778
1138,70798,23451
1139,99685,73711
1140,26964,79707
1141,73711,99685
1142,4922,51400
1143,23451,70798
1144,79707,26964
1145,58764,64085
1146,73711,23451
1147,64085,58764
1148,23451,73711
1149,96318,89208
1150,62935,87439
1151,88974,79479
1152,4777,81667
1153,62935,67123
1154,89208,96318
1155,67123,62935
1156,87439,62935
1157,9511,73330
1158,81667,4777
1159,79479,88974
1160,73330,9511
1161,46451,62858
1162,62858,46451
1163,98500,21329
1164,69063,72177
1165,42498,69063
1166,13891,94372
1167,94372,13891
1168,54833,28516
1169,21329,46451
1170,46451,21329
1171,69063,42498
1172,21329,98500
1173,72177,69063
1174,1602,19119
1175,19119,1602
1176,88038,26321
1177,26321,88038
1178,32194,7047
1179,26321,88178
1180,42947,7846
1181,7047,32194
1182,88178,26321
1183,61097,26321
1184,7846,42947
1185,26321,61097
1186,76820,15838
1187,43597,39895
1188,20548,43597
1189,47083,34101
1190,34101,47083
1191,43597,20548
1192,99042,18253
1193,15838,76820
1194,18253,99042
1195,39895,43597
1196,87609,69897
1197,69897,87609
1198,38437,78156
1199,15420,79039
1200,43908,89456
1201,78156,38437
1202,79039,15420
1203,89456,43908
1204,6405,34331
1205,16737,20625
1206,42562,8853
1207,35368,90682
1208,35833,34331
1209,14781,56816
1210,70813,21378
1211,45903,12861
1212,90325,23360
1213,34331,9200
1214,78907,71724
1215,35833,20985
1216,71724,83675
1217,21378,70813
1218,19281,7009
1219,20985,35833
1220,35368,23207
1221,23207,35368
1222,12861,45903
1223,71724,78907
1224,34331,35833
1225,56688,16737
1226,34416,10709
1227,20625,16737
1228,34331,6405
1229,8853,16098
1230,23360,90325
1231,16098,8853
1232,16737,56688
1233,90682,35368
1234,7009,19281
1235,10709,34416
1236,83675,71724
1237,8853,42562
1238,56816,14781
1239,9200,34331
1240,61423,89673
1241,58313,96644
1242,64405,96235
1243,96644,58313
1244,96235,64405
1245,89673,61423
1246,71745,11034
1247,11034,71745
1248,85171,98980
1249,16228,31898
1250,89738,1453
1251,48624,73254
1252,8156,39183
1253,39183,8156
1254,73254,48624
1255,14691,14549
1256,31898,16228
1257,98980,85171
1258,14549,14691
1259,1453,89738
1260,75661,35831
1261,82018,18242
1262,46389,3747
1263,7028,45838
1264,18242,82018
1265,1391,45838
1266,45838,7028
1267,45838,1391
1268,35831,75661
1269,93535,55219
1270,56935,16051
1271,81331,16051
1272,38346,25837
1273,39254,6266
1274,16051,56935
1275,16051,81331
1276,55219,93535
1277,63936,92335
1278,92335,63936
1279,6266,39254
1280,43948,4839
1281,4839,43948
1282,25837,38346
1283,10969,44951
1284,44951,10969
1285,43234,44951
1286,44951,43234
1287,91348,50920
1288,65083,50988
1289,76466,14480
1290,70779,65083
1291,72600,33258
1292,33258,73242
1293,42002,72513
1294,43610,17303
1295,97058,94040
1296,3642,33258
1297,77713,58509
1298,42951,42002
1299,33258,72600
1300,17703,96447
1301,14480,76466
1302,83575,97058
1303,73760,77713
1304,86139,65083
1305,46342,73760
1306,65083,70779
1307,24235,97498
1308,77713,73760
1309,33258,3642
1310,73760,42951
1311,72513,42002
1312,97498,24235
1313,42951,73760
1314,58509,77713
1315,73760,46342
1316,94040,97058
1317,84453,42002
1318,77713,77176
1319,97058,83575
1320,65083,86139
1321,73242,37495
1322,73242,33258
1323,96447,17703
1324,77176,77713
1325,50988,65083
1326,50920,91348
1327,37495,73242
1328,17303,43610
1329,42002,84453
1330,42002,42951
1331,38195,11019
1332,11019,38195
1333,77916,50887
1334,1141,88818
1335,37305,9439
1336,50887,77916
1337,2256,50887
1338,50887,2256
1339,88818,1141
1340,24107,31186
1341,9439,37305
1342,31186,24107
1343,58835,99572
1344,99572,90345
1345,99572,83842
1346,44671,63941
1347,63941,44671
1348,12730,90410
1349,89765,77779
1350,83842,99572
1351,90345,99572
1352,90410,12730
1353,77779,89765
1354,11998,11274
1355,11274,11998
1356,5035,32858
1357,43630,29053
1358,32858,5035
1359,29053,43630
1360,20790,69713
1361,69713,20790
1362,42679,20790
1363,20790,42679
1364,12709,15559
1365,61310,37222
1366,69635,37222
1367,15559,12709
1368,37222,61310
1369,37222,69635
1370,42208,44006
1371,44006,42208
1372,11830,93898
1373,17854,79257
1374,51246,79013
1375,26677,61386
1376,61386,60295
1377,61386,26677
1378,10836,89775
1379,84478,61736
1380,89775,10836
1381,93898,11830
1382,61736,51211
1383,24422,2125
1384,17327,51246
1385,2125,24422
1386,51211,61736
1387,42169,75673
1388,79257,17854
1389,75673,42169
1390,51246,17327
1391,79013,51246
1392,61736,84478
1393,92744,56364
1394,16069,74885
1395,5398,40211
1396,45217,43634
1397,5398,44177
1398,28544,36092
1399,20809,65862
1400,87458,34401
1401,74117,47772
1402,74117,85823
1403,32918,72073
1404,97836,5241
1405,74885,16069
1406,40609,44386
1407,16069,74043
1408,31974,55155
1409,95315,46093
1410,6055,37443
1411,81526,66243
1412,47772,69699
1413,3264,27423
1414,19948,14345
1415,26427,47565
1416,49836,83094
1417,87508,59320
1418,9956,62225
1419,3199,74117
1420,43634,45217
1421,62225,9956
1422,40632,96463
1423,44386,40609
1424,72073,32918
1425,11406,47156
1426,40211,5398
1427,44386,55155
1428,49836,87458
1429,93166,26695
1430,66243,81526
1431,74117,3199
1432,96463,40632
1433,16069,41212
1434,64817,56364
1435,41212,16069
1436,3264,19742
1437,69699,32538
1438,69699,47772
1439,83094,49836
1440,36092,28544
1441,85823,74117
1442,46093,95315
1443,26695,93166
1444,87458,49836
1445,32538,69699
1446,47156,11406
1447,1435,11461
1448,55155,44386
1449,11461,1435
1450,47772,74117
1451,74043,16069
1452,11406,55065
1453,55155,31974
1454,65862,20809
1455,56364,64817
1456,56364,92744
1457,5241,97836
1458,44177,5398
1459,14345,19948
1460,19742,3264
1461,55065,11406
1462,27423,3264
1463,37443,6055
1464,34401,87458
1465,59320,87508
1466,28542,53610
1467,53610,28542
1468,37291,86434
1469,86434,37291
1470,27779,38138
1471,38138,27779
1472,40011,67178
1473,10911,979
1474,67178,40011
1475,35382,10911
1476,3500,73585
1477,10911,35382
1478,979,10911
1479,73585,3500
1480,35780,45625
1481,35951,45625
1482,43503,66458
1483,14982,14279
1484,44687,49403
1485,49403,44687
1486,45625,35951
1487,13886,15595
1488,45625,35780
1489,35780,44728
1490,14279,14982
1491,15595,13886
1492,44728,35780
1493,44687,48341
1494,30931,19651
1495,19651,30931
1496,66458,43503
1497,48341,44687
1498,24856,22962
1499,22962,24856
1500,20881,12837
1501,47136,99677
1502,4525,96005
1503,59441,88795
1504,95057,94782
1505,14497,4370
1506,4156,50275
1507,95301,33472
1508,90168,63330
1509,73258,63330
1510,94782,95057
1511,4370,14497
1512,85327,4525
1513,99677,90577
1514,8436,76861
1515,76741,72812
1516,70315,35051
1517,33472,95301
1518,69166,25819
1519,12837,25819
1520,12837,4525
1521,2531,91290
1522,15293,90847
1523,52846,90847
1524,90577,99677
1525,25819,12837
1526,43744,76932
1527,25416,80492
1528,90168,14453
1529,20405,19514
1530,70315,55845
1531,99677,47136
1532,34135,20881
1533,94782,25368
1534,40110,25368
1535,43744,95057
1536,73258,4370
1537,91290,2531
1538,76861,8436
1539,55845,70315
1540,63330,73258
1541,25846,7346
1542,14453,78305
1543,20881,34135
1544,4525,85327
1545,63330,90168
1546,90847,52846
1547,95057,43744
1548,76932,43744
1549,90847,15293
1550,78305,14453
1551,7346,25846
1552,50275,4156
1553,72812,76741
1554,25819,69166
1555,80492,25416
1556,88795,59441
1557,4370,73258
1558,19514,20405
1559,12837,20881
1560,25368,94782
1561,4525,12837
1562,96005,4525
1563,25368,40110
1564,35051,70315
1565,81686,30180
1566,39390,85746
1567,803,20987
1568,10069,15009
1569,70981,53082
1570,30180,39424
1571,41283,6293
1572,43119,42428
1573,2792,5935
1574,99768,68396
1575,30180,81686
1576,39424,30180
1577,42428,43119
1578,15009,10069
1579,3016,92097
1580,20987,803
1581,79947,5935
1582,6293,41283
1583,85746,39390
1584,803,44942
1585,44942,803
1586,39424,39064
1587,39066,87990
1588,68396,99768
1589,5935,2792
1590,96889,19933
1591,53082,70981
1592,92097,3016
1593,5935,79947
1594,87990,39066
1595,19933,96889
1596,39064,39424
1597,70935,4345
1598,4345,70935
1599,32784,46385
1600,54886,24627
1601,91754,17637
1602,21417,63254
1603,46385,32784
1604,17637,91754
1605,51369,54886
1606,11739,51369
1607,21417,74118
1608,51189,55308
1609,74118,21417
1610,51369,11739
1611,94408,54108
1612,54886,51369
1613,55308,51189
1614,51195,62521
1615,54108,94408
1616,63254,21417
1617,34419,6718
1618,78814,75635
1619,18072,5756
1620,23307,44065
1621,6718,34419
1622,65472,79119
1623,3912,63096
1624,99644,58948
1625,58948,99644
1626,64736,62797
1627,63096,3912
1628,82570,44065
1629,57123,79119
1630,79119,57123
1631,44065,82570
1632,79119,65472
1633,62797,64736
1634,44065,23307
1635,75635,78814
1636,5756,18072
1637,12585,55923
1638,57131,77133
1639,18562,32433
1640,55923,12585
1641,12585,68636
1642,68636,12585
1643,23151,55923
1644,55923,23151
1645,77133,57131
1646,32433,18562
1647,38786,3657
1648,9337,73926
1649,73926,9337
1650,3657,38786
1651,61582,21132
1652,75618,17975
1653,21132,61582
1654,17975,75618
1655,1738,73214
1656,88193,6255
1657,6255,88193
1658,73214,1738
1659,5862,6255
1660,66362,18262
1661,18262,66362
1662,18262,78077
1663,78077,18262
1664,6255,5862
1665,84440,47662
1666,47662,84440
