src,dest
5939,4488
2701,4081
5939,3608
6659,4786
1008,4786
4786,7072
6008,6663
4122,6608
4122,8416
7350,6008
6659,2915
6008,3608
7072,7196
3,1786
6659,4488
7344,6499
4081,1008
6659,8416
4786,6499
8416,2450
1008,2450
6659,6008
7072,7142
7196,6008
4081,2701
1786,8671
1008,4122
3608,4122
7072,4488
3608,2915
3,7196
6499,1786
7344,3
5939,8416
3608,7344
7344,6659
7072,7350
6659,7142
8416,7350
6008,7072
7196,4081
2701,1786
4081,8416
6008,7344
1008,7196
3345,6008
8416,4081
7344,3608
6608,8671
2915,2450
6663,2701
1008,6663
6608,7142
3608,8416
8416,7142
3608,1786
6008,7350
7350,8416
8416,8671
1008,6008
6663,4488
4081,6659
8671,2915
6663,2915
2701,2450
7142,1786
7142,6499
2701,2915
5939,3
6663,1008
7350,1786
6663,4122
7142,3
7072,1008
7344,6608
2915,3345
4488,4786
6659,7196
6499,3
7344,4081
5939,8671
6663,7072
3345,7344
4122,4786
3608,3345
4122,6663
4122,6499
4786,4122
6608,2701
2701,7344
4081,7072
3345,3608
3,2450
2450,7350
8671,3608
3,4081
6663,4081
6608,3345
7072,6608
2701,3
2701,7142
7072,6659
3608,7072
2915,4122
5939,7142
4122,7072
6008,2701
7344,6663
3608,6663
6008,4488
3,8416
3345,2701
2450,6008
1786,6008
2701,6608
7072,8671
8671,4488
2915,3608
6008,5939
1008,3608
6008,3345
2915,7142
6659,7350
7350,3345
7344,4488
2915,2701
6008,8416
5939,7072
7142,2450
7196,8416
2450,6608
3608,2450
1008,3345
1786,7072
7350,2450
2915,1786
2915,7344
3,1008
1786,6608
5939,4081
6499,8671
6663,6659
2450,6663
6608,6499
4786,2450
4786,5939
3345,4488
6499,3345
4488,6008
6499,6608
6663,6008
7072,5939
7142,2915
1008,2701
5939,3345
4081,4488
6659,6499
4488,5939
7072,3608
1008,7072
4122,7344
6659,5939
7350,3608
8416,7344
6659,1008
4786,6008
7196,2450
6608,6659
2701,3345
2450,1786
8671,7196
3,3345
7344,3345
1786,7142
8416,7072
3,7350
6499,6663
4488,7350
3608,6608
3608,7196
2915,5939
3345,7142
7142,3608
4081,3
7142,7350
2701,7196
7142,7344
4786,3345
6499,4122
8671,2450
7344,4786
7072,2701
4488,7344
6663,4786
6008,6659
3,6008
6608,6008
7142,8416
2701,4488
4786,2915
4081,6008
7196,4122
6608,3608
7142,7196
1786,4081
7350,4488
7142,5939
7350,5939
7196,6659
4786,4081
7196,3345
7350,6659
1786,4488
6659,7072
8416,3608
4786,6608
6499,7350
8671,1008
3608,6659
8416,3
2450,8416
3345,6659
6659,3345
2915,6608
6659,2450
5939,1008
2701,3608
4122,8671
6659,6608
5939,1786
7142,4786
6663,3608
2450,8671
1786,3608
1008,8416
7198,4774
8397,4
245,865
1599,865
8397,2212
8397,7198
368,8134
5613,8522
8397,8522
1599,4
8522,8134
865,1599
537,8856
4,2865
4774,2212
537,865
8134,4774
368,7198
865,8397
2212,8856
4,537
4,368
8397,368
2865,368
368,5613
7198,4
4774,8134
8856,865
7198,537
7198,8397
4774,368
2865,8134
5613,865
8856,537
5613,8856
2212,245
8856,8134
2212,368
8856,245
537,8397
368,245
7198,2865
4774,4
865,7198
368,537
8522,1599
8134,2865
2212,4
5613,4774
245,537
245,2865
1599,368
4774,8397
865,8522
8522,537
368,8856
1599,2212
8522,2865
245,8856
4774,245
8856,1599
8397,8134
245,2212
8522,8856
8134,368
4,245
8522,865
537,368
537,4
8397,4774
245,4774
4,8522
8522,368
2865,8856
4,1599
1599,537
8522,4
865,2212
5613,8397
1599,8856
865,2865
2865,5613
7198,245
4,2212
537,245
1599,4774
865,4
2865,865
2212,7198
368,4774
537,2865
1599,2865
8134,4
8522,2212
2865,4774
8397,2865
7198,368
1599,8522
865,245
8856,7198
5613,2865
245,1599
2212,8397
8134,1599
8134,8397
3841,2194
5081,2194
5081,9650
2194,3841
9650,3841
2194,2464
3841,5
2194,5
8893,5
2464,5
3841,516
516,5081
516,8893
8893,5081
5081,516
9650,2464
2194,5081
9650,8893
9650,516
5081,2464
516,5
8893,2464
5,516
5081,8893
516,2194
2464,516
2464,5081
516,9650
3534,6
9378,7992
3534,7992
7992,9378
6211,7992
9378,3534
7992,6211
7992,6
6211,9378
6,3534
7173,8711
9381,7
7,7173
8711,7173
8711,9381
7173,7
5629,6358
5839,8
6358,8
5744,9216
9216,8
5629,1966
6358,5629
8,5629
6358,5839
5839,1966
9216,5744
9216,5839
5744,5629
5744,8
5839,5629
9216,1966
1966,5744
8,5744
6358,5744
5839,6358
5629,5744
6142,9
6142,7990
6644,6142
6831,6654
3647,6644
6283,6142
3710,6283
6644,6322
9290,6644
6322,9190
6644,6831
3761,9190
7743,3647
3647,7139
6644,805
6283,6654
7743,7139
6142,9190
9190,3647
7990,3761
9290,805
3710,6322
6142,6644
9,9190
6831,3710
3761,805
6654,6142
3761,3647
7139,6283
9290,7990
6644,7743
7990,6322
6322,805
7990,7743
6654,7990
6322,6283
6283,9
9190,7139
7743,6831
3710,7743
6283,7990
6322,6654
9,6654
6654,6322
7990,6831
3647,7743
9190,6831
6654,7743
3761,9
3710,9190
3761,7139
9290,3647
7990,6283
7743,6644
6644,9
7139,6831
9190,6142
805,9
3710,3761
7139,7743
7139,3710
6283,3647
6322,6644
9290,6654
3647,6831
6831,9190
6142,3710
6283,6831
3710,9290
805,7990
9290,7743
3710,805
9,7990
9,6831
6283,6644
3761,6831
6644,3761
7743,3761
6142,7139
3761,6644
9290,6283
805,6283
6322,7139
9,805
9,7743
805,6142
6654,3761
3710,6644
9,3710
6142,6831
6142,6283
9190,6322
6644,7990
9190,9290
9,3647
6283,3761
6654,6283
6322,9
6283,3710
7990,6142
6283,9290
7743,9
3761,6283
6644,9290
6322,6142
7743,9190
7139,6142
3647,9
9190,6644
7743,6142
7139,3647
3710,3647
9,7139
6644,6654
7139,7990
805,9290
7139,805
9290,3710
3710,9
7990,3710
8211,2932
7049,5013
7606,9922
7606,106
390,8846
7049,8799
9922,7519
7049,878
9438,2932
8615,2955
5013,3918
2053,8799
5013,1873
3561,5509
6138,7322
1784,7049
8211,4128
4170,9828
2932,3561
2398,9146
2932,10
3615,5329
9438,3561
9838,9438
962,7864
7606,1784
6138,4128
7322,9146
5255,621
6883,7049
538,2053
3386,6138
5329,6883
2932,1784
8799,621
9438,106
1826,6289
4193,9489
5020,7049
2398,9922
3360,139
8211,1719
5013,6883
9838,139
5329,9922
3386,8615
279,4891
538,8615
6138,2932
1826,878
1719,10
1826,4128
9435,2932
2932,538
8846,538
9920,3561
878,643
2024,6048
6983,390
7519,4170
4170,8799
9920,6138
5020,7519
7864,621
9438,6837
8799,2398
6983,9146
6289,1873
2955,3386
5329,6048
1826,3615
6289,3360
390,279
106,9922
9920,6048
3918,9489
4276,5255
1873,9828
7049,3918
3386,4193
3918,7864
8211,106
3561,7864
8615,3918
139,878
2024,5020
8799,878
10,4170
2053,621
538,2932
7606,6289
962,279
9438,1784
6289,878
2053,390
9435,7519
106,7864
9920,9438
7519,9435
4276,5013
7049,9435
4276,4193
6289,6138
6138,1826
5013,139
962,9489
2024,8846
5329,8211
7519,7322
5013,6983
6837,9435
1873,3918
1826,7606
9920,390
9438,621
5020,9838
7606,6983
3918,9146
4276,6837
4193,6289
2932,5329
7049,9920
8211,390
3918,5013
6883,9920
9828,390
248,643
9489,5013
6983,3386
7322,6289
1719,1826
4891,1719
3918,621
3615,3918
9838,7606
2955,10
8615,10
2024,878
8799,3561
6138,9828
7519,5020
6289,106
1826,6138
9435,1784
2024,9435
7864,2053
4170,3561
1719,6289
5255,3918
9922,390
6289,9922
5020,2932
5020,139
2053,1784
2932,5509
6048,1719
4276,7864
9922,3561
8799,9828
3360,962
7606,10
3360,390
3360,279
5255,643
6289,962
1873,9838
3360,4193
962,4891
643,2053
9838,3561
962,6983
9146,962
5255,3360
5020,8615
6883,9922
3615,2932
9435,4891
5020,8799
9828,7049
106,9489
538,8799
7864,8846
4170,2398
4128,7606
9922,4276
1873,6138
6983,5509
878,7864
2932,9438
2053,3386
643,5509
279,8211
4128,8799
7049,7519
8615,6983
9838,7049
1719,5013
4276,390
4193,9435
3386,3360
8799,6289
2932,9146
7864,4170
538,3386
5013,106
1826,4193
7322,9489
9922,643
643,5020
279,8799
2955,9435
5329,9438
7606,8615
2955,6048
2024,4128
538,5255
5329,643
1719,5255
6048,3360
9489,9922
2024,3360
8846,6983
1873,3360
9838,10
2053,9922
4891,1826
9920,643
1873,106
6048,7606
9435,4276
8846,6289
3360,621
6983,8799
7864,248
2955,9920
7322,7049
7864,9838
1784,5255
7049,1826
7864,538
9438,9838
8846,8615
3561,2024
6048,5020
1784,5509
7606,7322
5329,962
2024,279
4193,6138
8799,1826
7322,4193
139,8211
7606,8846
3615,7606
248,878
3360,4170
6883,2024
5509,106
3615,8799
6048,5329
4276,2932
248,4276
6048,2053
538,279
878,5013
5020,6837
7049,1873
9489,6289
538,6983
9828,7864
4193,1826
5020,5509
7049,5255
4193,7049
3561,4193
6837,2024
3918,9435
5509,6289
9435,248
9838,5509
3615,9435
5329,538
3386,1873
5013,1784
6983,643
5255,9146
10,9838
9146,538
4276,6983
390,9838
6289,621
279,2053
3615,5255
1826,6883
6048,139
2955,538
3386,9828
9920,6289
538,4170
139,6048
6983,1873
5329,3918
9838,9489
2955,5013
878,9489
878,8846
1826,9489
6837,9838
6289,4128
390,1784
9435,8211
962,6883
10,2398
7322,8615
3918,9838
2932,7519
1784,3615
2398,962
7519,3615
6048,4276
7606,9438
3360,106
2932,7049
139,643
106,139
7049,4170
9438,3386
7606,5013
5329,7864
9489,4276
9146,9489
2932,8846
139,5013
8799,3360
4193,962
139,7606
8846,139
962,9438
6837,8799
248,5329
9828,3918
4276,538
3561,106
390,5013
7322,6983
6048,7864
1873,3386
139,390
2932,7864
1826,9838
8846,4276
9435,9489
3918,2932
9438,8846
8211,3561
5013,10
106,10
4276,6138
6289,2955
621,9438
279,6048
9922,4891
6883,7864
8615,106
390,1873
3615,390
8211,1873
4128,3386
621,6138
7519,6983
3918,2955
5013,538
1784,4193
1873,139
6048,6983
8615,3386
5013,643
7864,106
139,962
4891,6837
6883,9489
4276,3561
106,2398
8211,643
6048,3386
6883,279
6983,2955
7049,538
248,538
4276,962
248,1719
9489,6138
538,9920
8799,106
9146,6983
2932,6883
9435,390
9828,538
7519,1826
2024,538
7322,538
7864,9828
9838,8615
4128,5013
9438,5020
279,4170
9920,7864
7606,9828
9435,3561
1784,7864
3561,7606
10,3615
1826,9922
390,9920
8615,9920
4128,9920
5329,4128
7606,3561
878,6289
9438,3615
3561,5329
962,9838
538,6138
5020,9920
621,5329
4128,9828
4170,8211
3386,390
4128,3918
2024,4170
8615,139
9489,538
6837,7606
4128,8615
9146,643
4193,2398
9838,6837
538,7519
10,643
962,106
1719,9435
5020,621
9828,9435
3561,8799
5255,8799
7606,5020
5020,3360
6048,4170
7519,1719
4128,962
4193,1719
1826,8799
248,7606
1826,621
6048,7322
8615,621
106,1784
4128,4276
5509,643
6138,390
4276,4891
2398,9838
4276,6883
538,643
8799,3615
538,390
9438,5329
4170,1719
8211,6837
2932,4276
8615,9438
7606,5509
8615,2024
6883,5329
2398,3386
106,5020
3918,6048
9489,878
248,6048
5509,10
8615,4276
9489,1719
106,1873
2024,4891
8846,5255
10,8799
621,6883
2024,2932
1873,962
2053,6837
4276,10
8211,4193
8615,643
9146,8615
5329,2955
2955,7864
962,5013
10,4276
5020,1719
2053,6983
8846,9838
4891,2398
4170,621
6837,8846
9146,4276
248,7322
5509,6138
4276,9435
962,390
6138,9920
7606,6837
2932,5255
6289,9438
8846,7606
1719,3360
2955,7519
1784,9146
4128,390
6983,2398
2398,4891
3561,5020
7322,3386
7519,2053
6837,1826
5329,8799
5509,1784
8846,279
2024,1826
4128,248
5509,2398
4193,3918
8211,5255
4193,3561
9146,878
9438,9920
9489,2932
3360,9838
643,6883
2932,9489
9438,390
4193,8799
4276,8846
9438,643
9920,2932
8846,3360
1784,2955
10,2955
8211,9920
4170,9489
643,6837
4193,621
279,9838
7864,5509
6289,5329
9922,6048
6138,7864
7519,390
3561,5013
2398,9920
8846,2955
3360,538
2024,390
3615,538
6048,6883
2955,6837
248,6289
9828,3615
9146,9920
6138,2053
878,1784
2024,643
5020,3386
390,878
9922,2398
5013,8615
1784,8211
5020,6048
6289,1719
3561,7049
9920,4170
643,248
9922,962
6048,1784
9828,2398
139,4193
8846,1784
3386,279
5509,4128
7864,643
9920,9828
9922,8211
5013,5509
3918,1826
1719,538
7864,6983
10,878
5509,5255
621,6289
4891,7049
2955,139
2955,6883
6289,10
8211,2024
6837,1784
7864,390
9828,7519
6983,248
5329,8615
878,106
2398,7322
6837,9920
10,6289
9438,9922
6289,139
9922,5020
1826,3561
7322,9438
9146,5013
538,5020
248,279
8799,5329
6837,6883
9838,5020
3918,5509
9838,2932
3360,10
8211,10
6837,4891
878,4128
878,7322
2932,4170
9920,7606
6837,643
3615,9828
139,6138
7519,6837
3615,3360
8846,4170
538,10
4276,2053
3615,106
279,106
9920,1719
1826,9438
4128,5509
8615,1719
5255,6837
6983,7606
6138,279
6983,5255
5020,4170
139,8799
7864,7322
6048,5509
1826,6048
9435,5329
2024,621
3561,4170
9828,1784
2053,3615
3360,248
1873,4193
6289,538
4891,878
4170,6289
248,2398
5013,7049
8211,962
2024,5509
4891,4170
878,390
248,6138
3360,5509
10,5509
6983,621
2932,643
6883,8846
279,6837
3615,621
1719,6837
5013,3386
6883,4170
7049,8211
106,4128
5013,3360
10,9146
279,3360
3386,4128
6883,2398
3561,7322
6289,3561
8846,6138
9438,3918
5020,106
6883,2932
621,7864
3561,2932
1784,538
1873,4891
621,9922
9489,6837
9438,4891
621,9828
1719,9920
5013,4193
1826,5329
3918,390
139,3561
8799,8615
279,2932
4891,7519
4128,538
8846,106
248,139
9828,4193
7606,962
9438,2024
7322,7606
106,248
643,7606
390,7519
9435,139
2053,8615
139,621
5329,10
5013,4891
8211,6289
7049,9146
8799,4193
9489,106
2398,8799
5020,2053
106,7049
6138,10
279,3561
5329,9435
7519,4891
6138,7519
1873,4128
643,9435
3561,9922
643,8799
9828,2053
10,7519
7049,643
3360,7519
5329,9828
8211,5013
7864,3918
8799,4128
1719,2398
6289,7606
7049,2024
538,7049
4170,9922
9922,9438
621,8211
538,3561
8615,3561
4891,2932
7864,8799
6837,621
1784,139
878,139
8211,5509
9489,5329
4170,1873
2955,2024
4193,139
8211,8846
9922,7322
1784,2932
621,4276
2024,6837
3360,5329
9828,5329
6048,9828
3615,9438
9435,878
6138,8799
9838,9922
7049,9489
4193,4891
4170,4276
7519,106
2024,6983
2932,8799
4193,4276
9438,2955
9838,6983
7606,2955
5255,2955
1873,6983
2024,3561
9438,7519
248,962
538,9828
1784,8615
5509,248
643,279
9146,7864
7322,9838
1873,621
5329,2398
8799,5013
878,9922
2024,5329
9922,3386
106,5255
248,9922
4276,9146
5013,9438
5255,2024
1784,6883
8211,9838
5255,7519
6138,3360
1719,4170
8615,5329
9489,9438
878,1826
643,4170
1873,2398
1873,10
8846,878
5013,8846
9489,7606
2398,6048
878,538
1719,643
621,5509
2955,390
643,6048
7322,279
7322,9920
3561,1826
10,962
4193,5255
4170,7322
4891,7864
5509,3360
5013,4128
7519,5255
538,2398
390,2024
9435,2398
2053,5509
6289,6048
6048,2955
1873,1784
4193,9438
621,9920
2932,6138
4193,6983
2398,5020
643,5255
7322,5509
1784,6289
390,3561
279,1826
6983,4891
9438,1826
6138,8211
4170,6048
9438,6983
5509,139
8615,7606
538,139
2955,5329
1826,3360
3918,248
7049,3561
279,6289
4193,9838
9838,2053
538,1719
621,9146
9489,2053
248,9438
2024,9922
1784,8799
9489,6883
9146,7519
5329,2053
962,3918
9435,6883
6138,2955
4128,9438
2398,106
6138,1719
5509,7606
621,4891
1826,3918
6048,6138
4276,4128
962,8799
7519,9922
4891,3360
4193,3615
9920,4276
7864,7606
6837,2053
8211,2053
8846,7322
5509,6983
106,9435
3386,3615
390,1719
8211,6883
4170,2955
5020,279
9922,10
1826,9146
878,2398
4170,9438
2024,3615
4891,10
878,279
5329,9489
6837,3360
6983,1719
6883,9438
1719,878
3561,4891
7864,5255
390,8615
279,7519
390,5509
5255,2053
7606,6883
5020,6883
6837,5013
10,9828
8846,6048
139,10
7322,8846
3360,878
9922,5255
4170,7864
6289,5020
7606,3615
3386,7519
1826,3386
5255,7864
878,5020
4276,8615
9922,279
962,248
9920,8615
139,2053
4276,106
1784,390
1784,6138
5329,3386
3561,2955
106,279
6983,279
8615,878
7606,6138
2053,7519
4193,9920
390,3918
5329,6837
7322,5329
1873,1719
7864,2024
7606,2932
7322,1784
2932,7606
878,1719
8799,248
3386,5013
8846,1826
878,7049
621,390
962,9922
7864,2955
3918,7519
139,6289
9489,7864
1873,8615
9920,878
643,4276
2053,4193
8211,7049
8799,3918
2024,9828
3918,2053
8615,9922
9838,2955
9920,7322
6289,3918
1719,2955
390,7606
3386,106
6289,3615
9438,10
1784,279
139,7864
7519,6048
1784,10
878,9920
1784,9438
1873,643
9146,2024
9489,5255
1719,8846
4193,6837
5509,4276
4128,2398
4128,5020
2955,7606
9920,279
6138,9922
4891,4193
9838,1826
6883,6289
1873,538
10,9435
1784,8846
5020,6138
3561,6048
7864,7049
1873,5255
9920,3386
10,8211
962,1784
4276,9838
6983,8211
5255,279
9838,1719
139,6837
9920,1784
962,4128
6048,4193
5013,248
6138,6837
6837,3561
538,9435
962,1826
6883,878
6048,7519
2955,4276
7519,8615
7322,878
1719,6138
279,10
279,4128
6883,9838
10,4128
962,9146
5329,1719
7864,7519
538,3615
1719,5509
1784,1719
4170,4128
8846,9438
9828,9838
9920,2024
2398,6138
6837,7049
2955,9489
3561,5255
6983,3561
878,6048
2932,106
6289,9920
4891,9828
139,9922
621,2024
3360,3561
10,7606
9922,2955
2053,2398
5329,7606
643,2398
4276,248
5020,2024
6289,4193
621,8846
6983,1784
5020,7864
9922,8799
643,106
279,5255
9838,106
878,1873
1873,6048
10,8615
4193,5013
643,7322
139,3615
5329,9146
106,3918
9489,9920
8846,2398
5013,621
643,4193
3561,1719
2932,9922
6837,4193
4128,643
6048,962
3386,643
9435,1826
4193,5509
9146,4193
643,621
9838,7322
6837,1719
248,8211
6883,139
4128,9146
3360,5255
3615,6048
538,4276
7519,7049
279,7322
9922,6837
139,279
1873,6837
8615,7322
3615,8846
6837,4128
6837,9922
5509,5329
3561,621
106,2024
7049,2053
5020,2955
8211,3360
4193,4170
4276,1719
9828,9922
6048,106
279,7606
6837,5255
3360,3386
2932,1719
621,5020
9489,3360
9435,3918
9838,621
621,248
1719,3386
390,9489
8211,3615
7322,621
3615,643
3360,1873
9489,7049
139,5329
7864,6837
9838,878
248,6837
2398,5255
10,2932
5329,7519
1826,962
621,643
7322,3360
390,2932
6883,9146
9920,2955
10,1826
6983,538
3360,9922
1784,9435
2955,5020
2053,279
8799,2955
139,1784
6983,9920
9435,5255
7519,4128
1873,279
5013,5329
6138,3918
10,106
6883,7519
9435,3360
6883,2955
3918,962
4276,1784
2932,962
8799,9146
5329,279
7519,3561
3615,4891
3386,4276
9828,7322
248,9435
9838,390
2932,7322
6983,4276
4128,4170
1784,7519
7606,4193
9828,4170
6138,9146
7049,279
2024,2398
139,5255
5329,9838
2053,4128
5020,5329
878,4891
2932,9920
9146,2053
2955,1719
621,3561
6048,10
9146,9838
10,2053
1784,5013
3360,2053
3360,2398
6983,106
9920,8799
390,7322
3360,3918
390,621
2024,8211
10,4891
3918,5255
7606,9838
3360,4128
3386,538
279,2398
962,2024
4891,2053
2955,3360
6983,6138
9838,6138
3386,3918
5509,6883
2024,7049
3615,6837
7049,6837
2024,3918
10,9922
6983,6289
5013,7322
643,3386
1826,2053
106,7322
3561,6837
3918,6883
8799,139
106,390
390,3360
4276,9828
3918,8211
538,1873
248,1784
3360,6289
621,1784
10,3360
9146,10
8615,4891
5509,1873
390,8799
4891,5013
538,6837
3615,2955
1826,538
1826,9828
878,5255
6883,9828
7322,8799
279,9435
9828,6289
621,5255
9438,3360
3386,139
6883,1784
7864,3561
3360,5020
5255,139
878,248
3360,1784
6883,621
8615,7864
1719,279
9920,962
5020,6289
1873,5013
8211,9922
4170,4891
3360,1719
9489,621
1719,8211
7864,1826
8615,279
5013,9922
6883,643
106,1826
6138,8615
9828,1826
2932,248
7049,1719
139,3386
2398,3360
6837,10
8846,5329
2024,4276
7606,8799
3561,8615
3615,4128
538,7864
8615,5509
7864,962
1873,3615
6048,279
248,3360
6983,2024
4128,2053
9920,9838
2053,643
3561,3386
1719,9828
10,7864
9435,7606
7606,6048
2024,5013
621,7519
3918,7049
962,1719
3360,6983
7049,5509
9828,9920
8615,5255
621,4193
9146,9828
7519,6289
4170,2053
9920,538
4128,6289
9828,9146
139,9828
3386,10
2955,8615
4128,6983
1826,139
3918,643
7606,7864
621,3360
279,248
5020,7606
5329,139
1873,1826
5255,878
4891,1784
7322,4170
1826,6983
4193,106
10,390
390,4193
1873,2024
643,538
643,9828
4128,2955
8211,6138
962,4170
390,1826
7049,6048
7864,139
5020,538
390,6138
643,9920
7606,2024
7864,10
878,8615
6883,6837
279,2024
621,3918
4276,1873
8846,4193
8615,3360
10,3918
7606,878
8846,2053
2955,5255
9438,6883
1719,9838
5013,5020
9838,6289
2053,7049
9146,2398
8211,7322
2398,5329
4276,5509
2932,9828
6289,2053
878,7606
8211,6048
1719,9438
9438,9489
7322,3561
6289,9828
962,7519
248,7864
1719,7049
1784,9828
9489,4170
6048,9838
5509,9920
106,6289
6983,7864
878,2932
9920,6983
5509,4170
5509,8211
5509,1719
9435,6837
3360,7049
1873,390
1784,4170
2053,7322
8615,6138
8799,9922
8615,7519
9435,3386
10,621
2955,643
6289,6883
7606,139
4128,7519
8846,4891
2955,4193
3386,8846
9489,3561
8799,390
9828,279
9489,5020
7049,7606
9435,7322
2398,3918
7606,621
5255,390
2398,7049
10,1873
6837,9438
5013,6048
10,4193
3918,4170
1719,5329
2024,7606
643,6289
6837,248
2398,538
5013,6837
4891,8799
279,7049
4891,7606
5013,2932
3561,6138
9435,9838
9435,3615
7322,1873
6883,5020
8799,2053
390,6048
643,3561
9828,5020
8846,4128
5013,2955
3386,9435
7322,9922
3918,7606
3615,6138
7049,2932
6048,2398
2932,3615
9838,3386
8615,4128
2955,962
1719,4128
3615,4170
1719,106
10,6883
4891,2955
3561,139
878,4193
4891,8211
621,2053
2398,1719
878,3918
9489,279
6837,9828
7606,279
9922,9435
2024,8615
9146,3918
9489,4193
3615,139
6138,5329
7519,3918
9435,6138
3918,3386
7519,2398
3615,5020
2955,279
279,3386
6983,6048
9922,2932
139,9438
8846,9146
248,8615
4276,139
7864,5013
8799,7049
5020,1873
6048,538
7606,4128
139,7322
4276,3360
5329,878
9489,4891
5509,7049
621,7049
2932,878
4128,1826
248,4128
4170,9838
2398,9435
279,9438
9920,106
3615,2024
279,9489
139,248
4170,9435
3386,9838
248,5013
106,5013
9838,6883
878,6883
6983,9438
7606,9489
106,8846
6837,279
5013,3615
6289,1784
9922,8846
106,4170
6048,621
7606,5255
2932,4891
9438,8615
9922,1826
7606,4170
6837,4170
8615,2053
4891,390
3360,3615
3360,5013
7864,9920
106,6048
2053,2932
10,5255
643,10
9828,6837
4170,2932
2398,8211
9435,279
6048,643
6883,5255
8211,139
6837,8615
9146,6837
9828,6048
7049,6138
106,621
2398,878
8615,538
2053,10
4276,9438
5013,4276
2398,139
643,4891
4170,3918
3918,279
5255,7606
4128,1873
3615,10
4170,643
2398,4193
3386,5509
9435,9920
6983,7049
3386,2024
8799,3386
7519,1873
4891,7322
878,962
9146,4170
7864,2932
962,621
1719,621
9828,248
390,5020
7519,9489
3615,248
5255,4193
7049,248
6048,878
3615,8615
643,1826
6837,8211
1826,2932
8799,6983
8846,248
8211,2955
3360,643
1826,8615
9838,9435
9146,279
621,6048
4891,9489
6983,2932
390,7049
9828,3360
1826,10
4891,9146
8799,9489
7519,538
6048,7049
6837,9489
7322,9435
4170,8846
7864,9146
106,878
9146,4891
643,139
2955,3561
1784,9922
8799,7606
538,5329
4891,3561
1784,9838
4193,2955
390,538
7606,3386
2932,2955
279,5013
4193,8846
9920,7049
6138,2024
962,5020
5255,9489
3561,4276
7606,1873
534,7679
7313,7679
8716,658
1850,7313
11,534
1155,8256
9728,11
6305,9427
11,8929
4566,989
1155,4566
8929,4566
8929,11
